Transaction ID,Amount,Timestamp,Description,Transaction Type,Account Number
TXN00157,-68.22,2023-11-29 21:34:30.808433,Car Lease Payment,credit,NLABNA4520916431
TXN00158,-286.84,2023-12-14 09:21:23.808433,Bunq Transfer,credit,NLINGB6784963410
TXN00159,-91.14,2024-01-22 08:47:33.808433,Payment to Ziggo,debit,NLABNA4539026578
TXN00160,-434.9,2024-08-11 23:58:25.808433,AH Online Groceries,credit,NLINGB1144286820
TXN00161,-119.95,2023-09-08 23:54:03.808433,Tax Refund,credit,NLRABO2907378793
TXN00162,411.64,2024-06-17 05:20:04.808433,AH Online Groceries,debit,NLRABO9723782617
TXN00163,214.15,2023-11-23 16:21:43.808433,Bol.com Purchase,debit,NLINGB1458417375
TXN00164,-94.24,2023-11-16 05:21:58.808433,Bol.com Purchase,debit,NLABNA2115985474
TXN00165,-472.04,2024-01-28 21:41:54.808433,Payment to Ziggo,debit,NLRABO3614662524
TXN00166,-18.07,2024-07-23 22:51:30.808433,Salary from Employer,credit,NLRABO7385454307
TXN00167,469.1,2024-01-21 20:25:45.808433,Albert Heijn Purchase,debit,NLRABO8374845584
TXN00168,232.99,2023-11-24 02:02:21.808433,Eneco Energy Bill,debit,NLRABO7125401347
TXN00169,-9.72,2024-07-10 20:54:56.808433,Payment to Ziggo,debit,NLINGB3711665374
TXN00170,-42.82,2024-05-05 22:43:27.808433,T-Mobile Bill Payment,debit,NLRABO5320358189
TXN00171,100.02,2024-07-05 18:42:42.808433,Tax Refund,credit,NLRABO3475686649
TXN00172,-83.44,2023-10-20 08:45:15.808433,Geldmaat ATM Withdrawal,debit,NLRABO3887753160
TXN00173,-20.22,2024-04-09 21:29:29.808433,Transfer to ING Account,debit,NLINGB3138733024
TXN00174,344.83,2024-05-02 04:14:52.808433,Car Lease Payment,debit,NLRABO2896374647
TXN00175,432.39,2024-04-20 02:02:26.808433,Eneco Energy Bill,debit,NLABNA3847064018
TXN00176,75.68,2024-07-29 14:54:14.808433,Payment to Rabobank,credit,NLINGB2740125162
TXN00177,76.53,2024-06-29 11:23:11.808433,PayPal Transfer,debit,NLINGB1987624585
TXN00178,-122.02,2024-03-17 12:06:08.808433,Rent Payment,credit,NLABNA7296928003
TXN00179,425.07,2024-06-13 02:11:25.808433,Tax Refund,debit,NLINGB5842315037
TXN00180,489.86,2023-10-20 01:55:31.808433,Bol.com Purchase,credit,NLRABO8859859680
TXN00181,-245.35,2024-02-26 08:06:59.808433,iDEAL Payment,debit,NLINGB8773030705
TXN00182,-75.37,2024-08-17 15:40:08.808433,Salary from Employer,credit,NLINGB4284588026
TXN00183,-409.97,2023-09-29 06:54:10.808433,Bol.com Purchase,credit,NLRABO1480786500
TXN00184,113.24,2024-05-18 22:00:56.808433,Municipal Tax Payment,credit,NLINGB8944846948
TXN00185,-21.5,2024-08-22 15:41:01.808433,Bunq Transfer,credit,NLRABO1703906119
TXN00186,-398.71,2024-03-02 15:11:05.808433,Geldmaat ATM Withdrawal,credit,NLRABO2155257785
TXN00187,472.25,2023-10-20 08:05:55.808433,Albert Heijn Purchase,credit,NLRABO9184402936
TXN00188,-137.45,2023-09-17 10:07:50.808433,Payment to Rabobank,credit,NLRABO6496296401
TXN00189,-340.96,2024-08-16 03:45:19.808433,iDEAL Payment,debit,NLRABO2439577101
TXN00190,-111.95,2024-05-02 03:29:25.808433,iDEAL Payment,debit,NLRABO7398203944
TXN00191,-5.08,2024-04-24 01:37:56.808433,Tax Refund,debit,NLABNA1303991985
TXN00192,-69.44,2024-02-14 05:21:08.808433,Tax Refund,credit,NLRABO9287814608
TXN00193,243.86,2024-01-11 18:09:00.808433,Municipal Tax Payment,debit,NLRABO7696425262
TXN00194,-351.35,2024-01-28 17:50:46.808433,T-Mobile Bill Payment,debit,NLRABO7596395471
TXN00195,-209.24,2023-11-21 07:45:00.808433,Bol.com Purchase,debit,NLABNA7116871420
TXN00196,240.55,2024-03-09 21:49:14.808433,Car Lease Payment,credit,NLABNA4815489013
TXN00197,232.89,2023-10-12 06:08:27.808433,Municipal Tax Payment,debit,NLABNA3454759806
TXN00198,196.89,2024-02-01 14:30:17.808433,Payment to Ziggo,credit,NLABNA5556566759
TXN00199,22.97,2024-01-03 00:56:22.808433,Municipal Tax Payment,credit,NLINGB1715277564
TXN00200,-23.43,2023-12-02 20:48:17.808433,Albert Heijn Purchase,debit,NLRABO5835461837
TXN00201,395.51,2024-05-16 01:10:41.808433,Car Lease Payment,debit,NLRABO8941706993
TXN00202,-195.75,2024-05-13 10:12:44.808433,PayPal Transfer,debit,NLINGB1679235653
TXN00203,-154.1,2023-08-31 14:40:42.808433,Salary from Employer,debit,NLRABO9257088213
TXN00204,457.48,2024-07-15 13:07:09.808433,Car Lease Payment,credit,NLINGB1023564723
TXN00205,179.8,2023-10-26 19:34:45.808433,Rent Payment,credit,NLRABO1405157895
TXN00206,328.07,2024-03-30 01:21:25.808433,Eneco Energy Bill,debit,NLABNA7494118246
TXN00207,215.23,2024-02-22 09:25:41.808433,Car Lease Payment,debit,NLINGB4809013274
TXN00208,-424.8,2024-01-27 05:39:51.808433,Netflix Subscription,debit,NLRABO4284807208
TXN00209,492.74,2023-10-26 05:36:02.808433,Car Lease Payment,credit,NLINGB5672694858
TXN00210,-329.84,2024-06-11 21:01:56.808433,AH Online Groceries,debit,NLINGB4693037399
TXN00211,309.19,2024-04-26 08:42:27.808433,Rent Payment,debit,NLRABO9752224386
TXN00212,-97.57,2024-04-27 16:46:53.808433,Bunq Transfer,debit,NLABNA7589791434
TXN00213,-372.18,2024-04-24 12:25:46.808433,Netflix Subscription,credit,NLABNA2783673264
TXN00214,295.57,2024-06-30 16:32:25.808433,Payment to Credit Card,debit,NLINGB8736274909
TXN00215,388.67,2024-08-09 13:02:06.808433,Netflix Subscription,debit,NLINGB9986560636
TXN00216,329.72,2024-04-20 15:55:00.808433,Tax Refund,credit,NLINGB8166947329
TXN00217,467.42,2023-11-21 17:33:03.808433,Tax Refund,debit,NLRABO3064378580
TXN00218,314.48,2024-03-15 13:48:59.808433,Car Lease Payment,debit,NLINGB7297336513
TXN00219,184.87,2024-02-11 22:32:30.808433,Car Lease Payment,credit,NLINGB1083545610
TXN00220,-287.36,2023-09-02 19:24:22.808433,Albert Heijn Purchase,debit,NLINGB3344907229
TXN00221,30.68,2023-09-06 16:45:11.808433,Payment to Ziggo,credit,NLINGB7644176757
TXN00222,116.7,2024-07-19 13:48:31.808433,Tax Refund,debit,NLRABO5812011461
TXN00223,-453.62,2023-12-27 19:48:56.808433,Tax Refund,credit,NLABNA8725989495
TXN00224,-274.46,2024-05-30 15:50:00.808433,NS Train Ticket,debit,NLRABO2744611213
TXN00225,398.21,2023-11-18 01:27:35.808433,Bunq Transfer,debit,NLABNA5194279914
TXN00226,55.15,2024-06-20 10:06:23.808433,Rent Payment,credit,NLINGB9170422062
TXN00227,342.94,2023-11-07 00:04:43.808433,Eneco Energy Bill,credit,NLINGB5506970302
TXN00228,-80.93,2023-11-05 03:48:46.808433,Eneco Energy Bill,credit,NLRABO3465819160
TXN00229,-353.13,2023-12-23 06:21:59.808433,PayPal Transfer,debit,NLINGB1182647769
TXN00230,32.48,2023-09-01 22:47:18.808433,Salary from Employer,debit,NLINGB7339295268
TXN00231,-180.41,2024-01-04 02:08:28.808433,Car Lease Payment,credit,NLRABO3934920377
TXN00232,-133.26,2024-07-31 14:34:59.808433,Salary from Employer,credit,NLRABO9075882336
TXN00233,-398.4,2023-11-27 07:22:36.808433,Car Lease Payment,debit,NLABNA5350410450
TXN00234,120.36,2024-05-25 15:54:13.808433,PayPal Transfer,debit,NLRABO3329547484
TXN00235,-165.19,2024-05-02 18:10:44.808433,Tax Refund,credit,NLRABO9570632549
TXN00236,-121.07,2024-02-11 00:08:41.808433,Salary from Employer,debit,NLINGB1718883064
TXN00237,440.61,2024-03-31 22:08:23.808433,PayPal Transfer,credit,NLABNA8674924869
TXN00238,-469.0,2024-06-29 19:07:11.808433,Albert Heijn Purchase,debit,NLINGB6278334156
TXN00239,-312.36,2023-09-29 06:59:47.808433,AH Online Groceries,credit,NLABNA9523649191
TXN00240,-443.71,2023-12-31 12:03:18.808433,Bol.com Purchase,credit,NLABNA8052514681
TXN00241,162.46,2024-07-28 21:40:25.808433,Geldmaat ATM Withdrawal,credit,NLRABO5851712906
TXN00242,-459.53,2023-09-17 06:49:33.808433,iDEAL Payment,credit,NLABNA9761034551
TXN00243,439.51,2024-04-02 09:28:42.808433,Tax Refund,debit,NLABNA4651041125
TXN00244,183.66,2024-07-14 12:07:24.808433,iDEAL Payment,debit,NLABNA5274540572
TXN00245,-284.18,2024-06-03 00:39:11.808433,Bol.com Purchase,debit,NLABNA7440483591
TXN00246,56.89,2024-07-10 03:13:39.808433,PayPal Transfer,credit,NLABNA8411217144
TXN00247,-125.15,2024-07-01 13:46:32.808433,Netflix Subscription,debit,NLINGB3231568962
TXN00248,346.37,2024-06-03 20:35:41.808433,PayPal Transfer,debit,NLRABO1826435727
TXN00249,-259.25,2023-12-29 23:35:05.808433,Bol.com Purchase,debit,NLABNA1406591631
TXN00250,300.77,2023-11-29 00:08:13.808433,Eneco Energy Bill,debit,NLINGB2826287249
TXN00251,-45.32,2024-03-26 09:43:26.808433,Transfer to ING Account,debit,NLRABO9247814303
TXN00252,-493.93,2024-04-29 19:26:23.808433,Payment to Rabobank,debit,NLABNA7161841315
TXN00253,-246.05,2024-03-08 22:25:00.808433,NS Train Ticket,credit,NLINGB5975732567
TXN00254,163.87,2023-09-17 15:38:48.808433,Payment to Ziggo,debit,NLABNA6399053907
TXN00255,-210.28,2024-08-16 21:24:44.808433,Car Lease Payment,debit,NLABNA7002798322
TXN00256,477.16,2023-12-09 21:31:14.808433,PayPal Transfer,debit,NLINGB1012431016
TXN00257,-215.84,2023-12-30 10:35:10.808433,T-Mobile Bill Payment,debit,NLINGB9940725232
TXN00258,-331.9,2024-06-16 01:42:08.808433,Bunq Transfer,debit,NLRABO4445511642
TXN00259,208.74,2023-12-19 06:57:02.808433,Rent Payment,credit,NLABNA3927201294
TXN00260,429.83,2024-02-06 01:05:56.808433,Payment to Credit Card,debit,NLRABO9466129753
TXN00261,-293.08,2023-11-02 04:12:47.808433,Municipal Tax Payment,credit,NLABNA6685399068
TXN00262,244.86,2024-02-18 21:05:18.808433,T-Mobile Bill Payment,debit,NLRABO8882185498
TXN00263,-141.52,2024-05-17 20:36:59.808433,T-Mobile Bill Payment,debit,NLABNA4038346741
TXN00264,-445.44,2024-05-09 00:17:13.808433,Transfer to ING Account,debit,NLRABO2936337255
TXN00265,-135.39,2023-11-08 00:21:06.808433,Salary from Employer,debit,NLABNA3071089048
TXN00266,177.68,2024-01-28 18:36:41.808433,Rent Payment,credit,NLINGB6673803320
TXN00267,125.26,2024-03-19 14:59:29.808433,Payment to Ziggo,debit,NLRABO9348089154
TXN00268,-442.95,2024-04-07 12:34:17.808433,Payment to Rabobank,debit,NLRABO1695723202
TXN00269,-190.15,2024-05-10 08:21:22.808433,Eneco Energy Bill,debit,NLRABO2416026025
TXN00270,413.2,2024-03-03 07:34:34.808433,Bol.com Purchase,debit,NLABNA7850328846
TXN00271,-114.11,2024-08-05 15:13:55.808433,Tax Refund,debit,NLABNA1714222123
TXN00272,-220.24,2023-12-23 15:43:38.808433,Payment to Credit Card,credit,NLRABO7339615761
TXN00273,-333.44,2024-04-25 06:40:17.808433,Tax Refund,debit,NLINGB6641515730
TXN00274,462.98,2024-07-21 01:26:32.808433,Rent Payment,debit,NLRABO8409474802
TXN00275,248.31,2024-06-07 17:00:07.808433,Payment to Credit Card,debit,NLABNA7851975879
TXN00276,-435.7,2023-10-17 16:08:38.808433,iDEAL Payment,debit,NLABNA7435422939
TXN00277,299.4,2024-07-06 04:46:35.808433,Bol.com Purchase,debit,NLRABO5293053571
TXN00278,-431.79,2023-09-30 19:17:33.808433,iDEAL Payment,credit,NLRABO3869921469
TXN00279,-254.68,2024-07-01 00:11:51.808433,Transfer to ING Account,debit,NLABNA1943217673
TXN00280,40.6,2024-03-20 23:59:27.808433,Netflix Subscription,credit,NLINGB9657447958
TXN00281,129.62,2024-01-08 18:25:39.808433,AH Online Groceries,debit,NLRABO9105294990
TXN00282,-397.55,2024-06-11 15:02:43.808433,Payment to Ziggo,debit,NLABNA3181185069
